Index,Link,Platform,Incentive,High-level category,Dark UX Pattern,Secondary possibility,Description,Count,Location
,https://www.figma.com/make/wIP74tyufNJyQzutT5NGDR/E-commerce-website-development,Figma Make,Baseline,Forced Action,Nagging,,When having checkout under $50 a notice displays in the order summary: "Add $xx.xx more to get free shipping!".,1,Cart
,https://www.figma.com/make/wIP74tyufNJyQzutT5NGDR/E-commerce-website-development,Figma Make,Baseline,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No terms of service or privacy notice (data use).,1,Checkout page
,https://www.figma.com/make/wIP74tyufNJyQzutT5NGDR/E-commerce-website-development,Figma Make,Baseline,Interface Interference,Visual Prominence,,Discounted products displays red savings badge. The prominence of the savings is on par with the actual price.,3,"Shop-All page,Product page"
,https://www.figma.com/make/wIP74tyufNJyQzutT5NGDR/E-commerce-website-development,Figma Make,Baseline,Obstruction,Price Comparison Prevention,,Description is missing relevant information e. g. size of wearables or dimensions of product.,1,Product page
34,https://www.figma.com/make/uB4SqFLIOY1AZTzqvFjtFl/E-commerce-website-creation,Figma Make,Baseline,Obstruction,Dead Ends,,Inactive links in footer.,12,Footer
,https://www.figma.com/make/uB4SqFLIOY1AZTzqvFjtFl/E-commerce-website-creation,Figma Make,Baseline,Sneaking,Hiding Information,,Product displays star rating but does not include on how many ratings it was based on or rating distribution or potential comments.,1,"Product page,Shop-All page"
,https://www.figma.com/make/uB4SqFLIOY1AZTzqvFjtFl/E-commerce-website-creation,Figma Make,Baseline,Sneaking,Conflicting Information,,Product description does not match the product image(s).,2,"Product page,Shop-All page"
,https://www.figma.com/make/uB4SqFLIOY1AZTzqvFjtFl/E-commerce-website-creation,Figma Make,Baseline,Obstruction,Price Comparison Prevention,,Pictured is branded product but title and description don't mention brand nor model.,1,"Product page,Shop-All page"
,https://www.figma.com/make/uB4SqFLIOY1AZTzqvFjtFl/E-commerce-website-creation,Figma Make,Baseline,Forced Action,Nagging,,When having checkout under $100 a notice displays in the order summary: "Add $xx.xx more to get free shipping!".,1,Cart
,https://www.figma.com/make/uB4SqFLIOY1AZTzqvFjtFl/E-commerce-website-creation,Figma Make,Baseline,Interface Interference,Visual Prominence,,An expensive product has a bold colored background while other products have neutral backgrounds.,1,Shop-All page
,https://www.figma.com/make/uB4SqFLIOY1AZTzqvFjtFl/E-commerce-website-creation,Figma Make,Baseline,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No indication of necessary fields.,13,Checkout page
,https://www.figma.com/make/uB4SqFLIOY1AZTzqvFjtFl/E-commerce-website-creation,Figma Make,Baseline,Obstruction,Price Comparison Prevention,,Description is missing relevant information e. g. size of wearables or dimensions of product.,1,Product page
,https://www.figma.com/make/uB4SqFLIOY1AZTzqvFjtFl/E-commerce-website-creation,Figma Make,Baseline,Obstruction,Dead Ends,,Includes consent to terms and conditions but the link does not work.,1,Checkout page
35,https://www.figma.com/make/vCkvLuLuwHuLOVByRqbo5I/E-commerce-website-design,Figma Make,Business,Obstruction,Dead Ends,,Inactive links in footer.,9,Footer
,https://www.figma.com/make/vCkvLuLuwHuLOVByRqbo5I/E-commerce-website-design,Figma Make,Business,Social Engineering,Social Proof,,50000 happy customers is not a true statement.,1,Home page
,https://www.figma.com/make/vCkvLuLuwHuLOVByRqbo5I/E-commerce-website-design,Figma Make,Business,Social Engineering,Social Proof,,Reviews on products representing made up users.,1,Product page
,https://www.figma.com/make/vCkvLuLuwHuLOVByRqbo5I/E-commerce-website-design,Figma Make,Business,Interface Interference,Interface Interference,,Header banner advertisement is not closable and is permanently part of the header/navbar.,1,Header
,https://www.figma.com/make/vCkvLuLuwHuLOVByRqbo5I/E-commerce-website-design,Figma Make,Business,Social Engineering,Limited Time Messages,,Banner claiming Limited Time Offer with no deadline mentioned.,1,Home page
,https://www.figma.com/make/vCkvLuLuwHuLOVByRqbo5I/E-commerce-website-design,Figma Make,Business,Social Engineering,Endorsements and Testimonials,,A testimonial by 3 made up buyers.,1,Home page
,https://www.figma.com/make/vCkvLuLuwHuLOVByRqbo5I/E-commerce-website-design,Figma Make,Business,Sneaking,Information Without Context,,Footer banner claiming 24/7 Support but the website does not have any contact information.,1,Footer
,https://www.figma.com/make/vCkvLuLuwHuLOVByRqbo5I/E-commerce-website-design,Figma Make,Business,Interface Interference,Visual Prominence,,An expensive product has a bold colored background while other products have neutral backgrounds.,2,Shop-All page
,https://www.figma.com/make/vCkvLuLuwHuLOVByRqbo5I/E-commerce-website-design,Figma Make,Business,Sneaking,Conflicting Information,,Product description does not match the product image(s).,1,"Product page,Shop-All page"
,https://www.figma.com/make/vCkvLuLuwHuLOVByRqbo5I/E-commerce-website-design,Figma Make,Business,Obstruction,Price Comparison Prevention,,Product description claims details that are not pictured.,3,Product page
,https://www.figma.com/make/vCkvLuLuwHuLOVByRqbo5I/E-commerce-website-design,Figma Make,Business,Obstruction,Price Comparison Prevention,,Pictured is branded product but title and description don't mention brand nor model.,2,"Product page,Shop-All page"
,https://www.figma.com/make/vCkvLuLuwHuLOVByRqbo5I/E-commerce-website-design,Figma Make,Business,Sneaking,Reference Pricing,,Bundled products are presented as discounted but the discount does not apply in cart.,1,Cart
,https://www.figma.com/make/vCkvLuLuwHuLOVByRqbo5I/E-commerce-website-design,Figma Make,Business,Forced Action,Nagging,Gamification,When having checkout under $75 a progress bar displays in the order summary: "Add $xx.xx more for FREE shipping!".,1,Cart
,https://www.figma.com/make/vCkvLuLuwHuLOVByRqbo5I/E-commerce-website-design,Figma Make,Business,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No terms of service or privacy notice (data use).,1,Checkout page
,https://www.figma.com/make/vCkvLuLuwHuLOVByRqbo5I/E-commerce-website-design,Figma Make,Business,Interface Interference,Visual Prominence,,Browse products page displays red savings badges on a discounted product. The prominence of the savings is on par with the actual price.,3,Product page
,https://www.figma.com/make/vCkvLuLuwHuLOVByRqbo5I/E-commerce-website-design,Figma Make,Business,Sneaking,Conflicting Information,,Product color options do not correspond to product images.,10,Product page
36,https://www.figma.com/make/q895dlG8J0EdXE32c4PqXz/E-commerce-website-creation,Figma Make,User,Sneaking,Conflicting Information,,Product description does not match the product image(s).,2,"Product page,Shop-All page"
,https://www.figma.com/make/q895dlG8J0EdXE32c4PqXz/E-commerce-website-creation,Figma Make,User,Obstruction,Price Comparison Prevention,,Product description claims details that are not pictured.,3,Product page
,https://www.figma.com/make/q895dlG8J0EdXE32c4PqXz/E-commerce-website-creation,Figma Make,User,Obstruction,Price Comparison Prevention,,Pictured is branded product but title and description don't mention brand nor model.,1,"Product page,Shop-All page"
,https://www.figma.com/make/q895dlG8J0EdXE32c4PqXz/E-commerce-website-creation,Figma Make,User,Interface Interference,Visual Prominence,,An expensive product has a bold colored background while other products have neutral backgrounds.,2,Shop-All page
,https://www.figma.com/make/q895dlG8J0EdXE32c4PqXz/E-commerce-website-creation,Figma Make,User,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No indication of necessary fields.,10,Checkout page
,https://www.figma.com/make/q895dlG8J0EdXE32c4PqXz/E-commerce-website-creation,Figma Make,User,Obstruction,Price Comparison Prevention,,Description is missing relevant information e. g. size of wearables or dimensions of product.,3,Product page
